"Restaurante","Avaliação","Localização","Vendas da Rede","Crescimento Anual (%)","Nº de Filiais","Crescimento Anual Filiais (%)","Vendas Média das Filiais","Ano do Ranking","Franquia"
"California Fish Grill","The premise: sustainable seafood served in a laid-back atmosphere with a check average of $10. The menu is deliberately simple, offering about a dozen species of fish and shellfish, including scallops—a rarity at a fast casual—all sustainably sourced, says CEO Bob Holden. All 21 locations are in California, with four more to come in 2018. And in 2019, “We’re looking to get into Nevada, Colorado and Arizona,” Holden says, projecting a 20% to 30% growth rate. ","Fullerton, Calif.",4.7e+07,39.7,21,23.5,2600000,2018,"No"
"Punch Bowl Social","The evolution of eatertainment—from the kid-focused animatronic robots of Chuck E. Cheese’s to the grown-up playgrounds of Dave & Buster’s—has spelled opportunity for Punch Bowl Social. The growing brand, which plans to open 10 new units over the next year and a half, is known for its from-scratch kitchen and craft cocktail program as well as its wide selection of games.",NA,2.8e+07,39.6,11,37.5,3e+06,2018,"No"
"B.Good","Its tagline, “Food with roots,” reinforces B.Good’s ethos of local sourcing, farmer partnerships and sustainability. Although it’s positioned as a better-burger concept, the fast casual’s menu extends far beyond, offering a changing roster of seasonal salads and a large selection of kale and grain bowls. B.Good originated in Boston and began franchising in 2013; its 53 locations are now spread across 12 states as well as Canada, Germany and Switzerland.",NA,5e+07,38.9,53,32.5,1100000,2018,"Yes"
"Luna Grill","Suburban centers are the sweet spot for Luna Grill, says VP of Marketing Nicole Bushnell. The Mediterranean fast casual is concentrated in Southern California but recently opened its 45th restaurant, in Dallas, the eighth in that city. “We expect to have 50 locations by the end of summer,” she says. The Dallas store features a “brighter, more feminine, open-kitchen” prototype and an expanded menu that includes bowls, a plant-based burger and a full-bottle program for wine service. Going forward, the new look and menu will be the standard. ","Carlsbad, Calif.",4.8e+07,38.1,40,14.3,1300000,2018,"No"
"Yolk","This breakfast and lunch concept has locations in Illinois, Texas and Indiana, with plans to expand to Florida later
this year. New in 2018 is the opening of Yolk Test Kitchen in Chicago’s Wicker Park neighborhood. It’s a full-service restaurant offering Yolk’s staple items along with a
Test Kitchen menu section devoted to more unique specials, such as shakshouka, Korean hot chicken and waffles and Breakfast Mac & Cheese. Yolk tends to locate in urban areas, attracting a following of both locals and tourists. ",NA,2.9e+07,36.4,13,18.2,2400000,2018,"Yes"
"Burger Lounge","A demo-style kitchen, tabletops made from recycled water bottles and sustainable to-go packaging reinforce Burger Lounge’s eco-friendly, transparent message. Although other players in the crowded better-burger space also promote  sustainability, this fast casual promotes itself with the tagline “The original grass-fed burger.” Those burgers form the core of the menu, along with turkey, tuna and veggie burgers, salads, sides and shakes. Local beers are also available.  ","La Jolla, Calif.",3.9e+07,35.8,25,19,1700000,2018,"No"
"Snooze, an A.M. Eatery","“The best compliment we can get is when people are surprised to find out we’re a chain,” says David Birzon, CEO of Snooze.",NA,3.9e+07,35.8,24,19,1800000,2018,"No"
"Hopdoddy Burger Bar","“Unicorn casual” is how CEO Jeff Chandler describes Hopdoddy. “We transcend fast casual into a variation of casual dining. That makes us ‘rare,’” like a unicorn, he says. Chandler applies that uniqueness to growth as well. “We won’t stamp out identical cookie-cutter restaurants in every market,” he says, instead working with a prototype that can adapt to different sites. Hopdoddy is on pace to open one location a month through 2019, focusing on central Florida and the rest of the Southeast. ","Austin, Texas",4.9e+07,35.8,22,29.4,2500000,2018,"No"
" Ike’s Place","This fast-casual chain is known for its playful pop-culture-themed sandwiches such as the Michael Jordan (beef meatballs, marinara, pepper jack cheese) as well as its signature Ike’s Dirty Secret Sauce that is smothered onto the bread before and after baking. Consumers can also grab plant-based options made with housemade vegan meats. Since first launching in 2007, it’s grown throughout California and beyond, winning many local “best of” sandwich awards along the way.",NA,3.3e+07,35.7,38,11.8,920000,2018,"No"
"Melt Bar & Grilled","Grilled cheese is the focus for this chain that has expanded to more than 10 locations in Ohio, including at Case Western Reserve University and Progressive Field, both in Cleveland. Owner and co-founder Matt Fish says the chain is taking a break from expansion this year, but will pick back up again in 2019. Fish says Melt is also exploring out-of-state locations. “We’re looking at Pittsburgh and Detroit as two big markets that we want to break into,” he says. “That’s kind of the next four- to five-year plan.”  ","Lakewood, Ohio",2.1e+07,35,13,11.8,1700000,2018,"No"
"Tin Lizzy’s Cantina","This full-service taqueria chain promotes its menu as “FlexMex”: Tex-Mex influenced by other cuisines such as Asian and coastal American favorites. The chain has expanded from its home state of Georgia into Florida and South Carolina and continues to develop its menu, recently rolling out veggie-forward options such as grilled portobello tacos. As it grows, new restaurants integrate decor specific to the local market, all while maintaining the overall party vibe, which includes live music most nights.",NA,4.1e+07,34.4,17,30.8,2800000,2018,"Yes"
"Blue Bottle Coffee","Blue Bottle Coffee began as a coffee roastery and retail company specializing in brewing its coffee at the peak time to achieve the best flavor. Blue Bottle remains a popular retail brand, but it has also expanded with cafes on both coasts as well as in Japan. The company has received more than $120 million in investment funding, which has helped it grow from a small indie brand into a major coffee player. That attracted the interest of Nestle, which acquired a 68% stake in the business last year.","Oakland, Calif.",2.7e+07,34.3,40,42.9,830000,2018,"No"
"Keke’s Breakfast Cafe","Serving scratch-made breakfast and lunch, Keke’s prepares meals using fresh ingredients, including produce that is delivered daily. The chain, which has locations throughout Florida, is expanding mostly through franchising, and is exploring traditional as well as nontraditional sites, recently opening a unit in a Whole Foods. Despite the growth, Keke’s wants to maintain its homey, local feel, with a tagline that says, “It’s like your hometown diner grew up and went to the city.” ",NA,4.7e+07,33.7,32,28,1700000,2018,"No"
"Luke’s Lobster","Sustainability and transparency are at the heart of Luke’s Lobster, a fast casual specializing in lobster rolls. “You can trace every seafood roll back to the wharf it was caught at,” says Luke Holden, a third-generation lobsterman who is the chain’s founder and CEO. “We’re able to know where every lobster, fish and shrimp are caught, and we only source seafood from sustainable fisheries.”",NA,3.6e+07,33.7,30,42.9,1400000,2018,"Yes"
"Pies & Pints","As its name implies, Pies & Pints’ menu is centered on specialty pizza and craft beer. Consumers can stop in for weekly happy hours and special events, such as local brewery takeovers. Each location includes a white elephant mural based on the one that was found while building the original location. As the chain is expanding outside of its home state of West Virginia, it has maintained a large following there: It’s the state’s most recommended restaurant on Facebook, according to USA Today.","Lexington, Ky.",4e+07,33,14,16.7,3100000,2018,"Yes"
"Dig Inn","Farm-to-table is more than a catchphrase for this fast casual, which grows produce on its own 12-acre farm in upstate New York as well as working with more than 100 other farmers and food producers. “Mindful sourcing is our bread and butter,” the chain’s website states, noting that Dig Inn buys from minority-run and small-scale farms. Last year, after receiving $30 million in funding, Dig Inn expanded its brand with a two-story flagship unit in Manhattan called Dig House that features a MatchaBar window, serving a menu of drinks and pastries. ",NA,3e+07,32.6,19,18.8,1700000,2018,"No"
"Clean Eatz","Clean Eatz targets busy consumers looking to adopt a healthy lifestyle with a menu of build-your-own bowls, sandwiches, flatbreads, burgers and wraps as well as on-the-go snacks and options from a smoothie bar. In addition to more traditional cafe and catering options, Clean Eatz is going after the growing off-premise market with its Meal Plans program, offering consumers the option to pick up prepackaged weekly meals to reheat at home. To further its brand, the chain also launched a retail line of salt-free spices.","Wilmington, N.C.",2.4e+07,32.2,31,34.8,895000,2018,"Yes"
"Philz Coffee","Straying from the typical coffee shop menu, Philz does not serve specialty espresso beverages such as lattes or cappuccinos. Instead, baristas brew one cup of coffee at a time using a pour-over method that allows consumers to completely customize their order, living up to founder Phil Jaber’s philosophy that “The best coffee is the coffee that comes to your own personal taste.” The chain has received more than $75 million from investors, and it recently debuted a mobile app that lets customers order ahead. ",NA,2.1e+07,31.3,42,20,555000,2018,"No"
